Sample	Treatment	Time	Genotype	Subspecies	Subtreatment
SRR2931040	CONTROL	15	AZ	Japonica	CONTROL
SRR2931041	CONTROL	15	AZ	Japonica	CONTROL
SRR2931042	CONTROL	30	AZ	Japonica	CONTROL
SRR2931043	CONTROL	30	AZ	Japonica	CONTROL
SRR2931044	CONTROL	45	AZ	Japonica	CONTROL
SRR2931045	CONTROL	45	AZ	Japonica	CONTROL
SRR2931046	CONTROL	60	AZ	Japonica	CONTROL
SRR2931047	CONTROL	60	AZ	Japonica	CONTROL
SRR2931048	CONTROL	75	AZ	Japonica	CONTROL
SRR2931049	CONTROL	75	AZ	Japonica	CONTROL
SRR2931050	CONTROL	90	AZ	Japonica	CONTROL
SRR2931051	CONTROL	90	AZ	Japonica	CONTROL
SRR2931052	CONTROL	105	AZ	Japonica	CONTROL
SRR2931053	CONTROL	105	AZ	Japonica	CONTROL
SRR2931054	CONTROL	120	AZ	Japonica	CONTROL
SRR2931055	CONTROL	120	AZ	Japonica	CONTROL
SRR2931056	CONTROL	135	AZ	Japonica	CONTROL
SRR2931057	CONTROL	135	AZ	Japonica	CONTROL
SRR2931058	CONTROL	150	AZ	Japonica	CONTROL
SRR2931059	CONTROL	165	AZ	Japonica	CONTROL
SRR2931060	CONTROL	165	AZ	Japonica	CONTROL
SRR2931061	CONTROL	180	AZ	Japonica	CONTROL
SRR2931062	CONTROL	180	AZ	Japonica	CONTROL
SRR2931063	CONTROL	195	AZ	Japonica	CONTROL
SRR2931064	CONTROL	195	AZ	Japonica	CONTROL
SRR2931065	CONTROL	210	AZ	Japonica	CONTROL
SRR2931066	CONTROL	210	AZ	Japonica	CONTROL
SRR2931067	CONTROL	225	AZ	Japonica	CONTROL
SRR2931068	CONTROL	225	AZ	Japonica	CONTROL
SRR2931069	CONTROL	225	AZ	Japonica	CONTROL
SRR2931070	CONTROL	240	AZ	Japonica	CONTROL
SRR2931071	CONTROL	270	AZ	Japonica	CONTROL
SRR2931072	CONTROL	270	AZ	Japonica	CONTROL
SRR2931073	CONTROL	300	AZ	Japonica	CONTROL
SRR2931074	CONTROL	300	AZ	Japonica	CONTROL
SRR2931075	HEAT	15	AZ	Japonica	HEAT
